code,name,theme,brief,tags,yahooSymbol
9147,Nippon Express Holdings Inc.,物流,輸送/宅配,-|物流,9147.T
9149,"Otomo Logistics Service Co., Ltd.",物流,宅配/物流,-|物流,9149.T
9156,"Hana Holdings Co., Ltd.",航空,運輸/エアライン,-,9156.T
9158,Cuc Inc.,-,-,-,9158.T
9159,W Tokyo Inc.,-,-,-,9159.T
9160,Novarese Inc.,-,-,-,9160.T
9162,Bleach Inc.,-,-,-,9162.T
9163,Nareru Group Inc.,-,-,-,9163.T
9164,Tryt Inc.,-,-,-,9164.T
9165,Qualtec Co. Ltd.,-,-,-,9165.T
9166,Genda Inc.,-,-,-,9166.T
9167,Futonmaki Jiro Inc.,-,-,-,9167.T
9168,Rise Consulting Group Inc.,-,-,-,9168.T
9169,Daishinsha Inc.,-,-,-,9169.T
9171,"Kuribayashi Steamship Co., Ltd.",-,-,-,9171.T
9173,Tokai Kisen Co. Ltd.,-,-,-,9173.T
9193,Tokyo Kisen Co. Ltd.,-,-,-,9193.T
9201,"Japan Airlines Co., Ltd.",航空,運輸/エアライン,-,9201.T
9202,Ana Holdings Inc.,航空,運輸/エアライン,-,9202.T
9204,Skymark Airlines Inc.,航空,運輸/エアライン,-,9204.T
9206,Star Flyer Inc.,-,-,-,9206.T
9211,F-Code Inc.,-,-,-,9211.T
9212,"Green Earth Institute Co., Ltd.",itサービス,ソフト/クラウド,it,9212.T
9213,Seyfert Ltd.,-,-,-,9213.T
9214,"Recovery International Co., Ltd.",-,-,-,9214.T
9215,"Casy Co., Ltd.",-,-,-,9215.T
9216,Bewith Inc.,itサービス,ソフト/クラウド,it,9216.T
9218,Mental Health Technologies Inc.,-,-,-,9218.T
9219,Gixo Ltd.,-,-,-,9219.T
9220,"Fb Care Service Co., Ltd.",-,-,-,9220.T
9221,Fuluhashi EPO Corporation,-,-,-,9221.T
9222,"Manaby Co., Ltd.",航空,運輸/エアライン,-,9222.T
9223,"Asnova Co., Ltd.",-,-,-,9223.T
9224,Kankyou No Mikata Inc.,-,-,-,9224.T
9225,Bridge Consulting Group Inc.,-,-,-,9225.T
9227,"Microwave Chemical Co., Ltd.",化学,素材/化学,-,9227.T
9229,"Sunwels Co., Ltd.",-,-,-,9229.T
9233,"Asia Air Survey Co., Ltd.",-,-,-,9233.T
9235,Ureru Net Advertising Group Inc.,ネットサービス,プラットフォーム/広告,it,9235.T
9236,Japan M&A Solution Inc.,-,-,-,9236.T
9237,"Emimen Co., Ltd.",-,-,-,9237.T
9238,Value Creation Co. Ltd.,-,-,-,9238.T
9240,Delivery Consulting Inc.,物流,輸送/宅配,-|物流,9240.T
9241,"Future Link Network Co., Ltd.",-,-,-,9241.T
9242,Media Research Institute Inc.,itサービス,ソフト/クラウド,it,9242.T
9243,FT Holdings Co. Inc.,-,-,-,9243.T
9244,Digitalift Inc.,itサービス,ソフト/クラウド,it,9244.T
9245,Livero Inc.,-,-,-,9245.T
9246,Projectholdings Inc.,-,-,-,9246.T
9247,Tre Holdings Corporation,-,-,-,9247.T
9248,People Dreams & Technologies Inc.,-,-,-,9248.T
9249,"Japan Ecosystem Co., Ltd.",itサービス,ソフト/クラウド,it,9249.T
9250,Grcs Inc.,-,-,-,9250.T
9251,"AB & Company Co., Ltd.",-,-,-,9251.T
9252,"Last One Mile Co., Ltd.",-,-,-,9252.T
9253,Slogan Inc.,-,-,-,9253.T
9254,Lovable Marketing Group Inc.,-,-,-,9254.T
9256,"Succeed Co., Ltd.",-,-,-,9256.T
9257,YCP Holdings Global Limited,itサービス,ソフト/クラウド,it,9257.T
9258,"CS-C Co., Ltd.",-,-,-,9258.T
9259,Takayoshi Holdings Inc.,-,-,-,9259.T
9262,"Silver Life Co., Ltd.",鉱業,資源/鉱山,-|資源|鉱業,9262.T
9264,"Puequ Co., Ltd.",-,-,-,9264.T
9265,Yamashita Healthcare Holdings Ltd.,itサービス,ソフト/クラウド,it,9265.T
9266,"Ikka Dining Project.,Ltd.",-,-,-,9266.T
9267,"Genky Drugstores Co., Ltd.",ドラッグストア,ドラッグ/調剤,-|ドラッグ|小売,9267.T
9268,"Optimus Group Co., Ltd.",-,-,-,9268.T
9270,Valuence Holdings Inc.,-,-,-,9270.T
9271,"Wagokoro Co., Ltd.",-,-,-,9271.T
9272,Boutiques Inc.,-,-,-,9272.T
9273,"Koa Shoji Holdings Co., Ltd.",紙・パルプ,製紙/パルプ,-|紙パ|素材,9273.T
9274,"KPP Group Holdings Co., Ltd.",-,-,-,9274.T
9275,"Narumiya International Co., Ltd.",-,-,-,9275.T
9278,Bookoff Group Holdings Ltd.,-,-,-,9278.T
9279,Gift Holdings Inc.,-,-,-,9279.T
9282,Ichigo Green Infrastructure Investment Corp.,金融,証券/運用,-|証券|金融,9282.T
9284,"Canadian Solar Infrastructure Fund, Inc.",航空,運輸/エアライン,-,9284.T
9285,"Tokyo Infrastructure Energy Co., Ltd.",エネルギー,原油/ガス/電力,エネルギー,9285.T
9286,Enex Infrastructure Investment Corporation,金融,証券/運用,-|証券|金融,9286.T
9287,Japan Infrastructure Fund Investment Corporation,金融,証券/運用,-|証券|金融,9287.T
9301,Mitsubishi Logistics Corp.,itサービス,ソフト/クラウド,it,9301.T
9302,"Mitsui-Soko Holdings Co., Ltd.",itサービス,ソフト/クラウド,it,9302.T
9303,"Sumitomo Warehouse Co., Ltd.",itサービス,ソフト/クラウド,it,9303.T
9304,Shibusawa Logistics Corp.,物流,宅配/物流,-|物流,9304.T
9305,Yamatane Corporation,-,-,-,9305.T
9306,Toyo Logistics Co. Ltd.,物流,宅配/物流,-|物流,9306.T
9307,Sugimura Warehouse Co. Ltd.,ドラッグストア,ドラッグ/調剤,-|ドラッグ|小売,9307.T
9308,"Inui Global Logistics Co., Ltd.",物流,宅配/物流,-|物流,9308.T
9310,Japan Transcity Corporation,itサービス,ソフト/クラウド,it,9310.T
9311,Asagami Corporation,-,-,-,9311.T
9312,"Keihin Co., Ltd.",機械,fa/ロボット/産機,-,9312.T
9313,"Maruhachi Warehouse Co., Ltd.",-,-,-,9313.T
9319,"Chuo Warehouse Co., Ltd.",-,-,-,9319.T
9322,"Kawanishi Warehouse Co., Ltd.",-,-,-,9322.T
9324,Yasuda Logistics Corporation,物流,宅配/物流,-|物流,9324.T
9325,Phyz Holdings Inc.,インターネット,プラットフォーム/広告,-|インターネット|広告,9325.T
9326,"Kantsu Co., Ltd.",-,-,-,9326.T
9327,"E-Logit Co., Ltd.",itサービス,ソフト/クラウド,it,9327.T
9330,Ageha Inc.,-,-,-,9330.T
9331,Caster Co. Ltd.,-,-,-,9331.T
9332,"Nisso Holdings Co., Ltd.",-,-,-,9332.T
9336,"Daiei Kankyo Co., Ltd.",-,-,-,9336.T
9337,Toridori Inc.,-,-,-,9337.T
9338,Inforich Inc.,-,-,-,9338.T
9339,"Coach A Co., Ltd.",-,-,-,9339.T
9340,ASO International Inc.,-,-,-,9340.T
9341,Genova Inc.,-,-,-,9341.T
9342,Sumasapo Inc.,-,-,-,9342.T
9343,Ibis Inc.,-,-,-,9343.T
9344,Axis Consulting Corp.,-,-,-,9344.T
9345,Bizmates Inc.,-,-,-,9345.T
9346,Cocorport Inc.,インフラ,港湾/物流,-|インフラ|物流,9346.T
9347,Nippon Kanzai Holdings Co. Ltd.,-,-,-,9347.T
9348,Ispace Inc.,-,-,-,9348.T
9351,"Toyo Wharf & Warehouse Co., Ltd.",-,-,-,9351.T
9353,Sakurajima Futo Kaisha Ltd.,-,-,-,9353.T
9355,Rinko Corporation,-,-,-,9355.T
9360,Suzuyo Shinwart Corporation,商社,総合商社,-|商社,9360.T
9361,"Fushiki Kairiku Unso Co., Ltd.",-,-,-,9361.T
9362,Hyoki Kaiun Kaisha Ltd.,-,-,-,9362.T
9363,"Daiun Co., Ltd.",-,-,-,9363.T
9364,"Kamigumi Co., Ltd.",-,-,-,9364.T
9365,Tradia Corporation,ネットサービス,プラットフォーム/広告,it,9365.T
9366,Sanritsu Corporation,itサービス,ソフト/クラウド,it,9366.T
9367,Daito Koun Co. Ltd.,itサービス,ソフト/クラウド,it,9367.T
9368,"Kimura Unity Co., Ltd.",itサービス,ソフト/クラウド,it,9368.T
9369,KRS Corporation,-,-,-,9369.T
9376,Eurasia Travel Co. Ltd.,-,-,-,9376.T
9377,AGP Corporation,-,-,-,9377.T
9380,"Azuma Shipping Co., Ltd.",海運,運輸/コンテナ・ばら積み,-,9380.T
9381,AIT Corp.,itサービス,ソフト/クラウド,it,9381.T
9385,Shoei Corporation,-,-,-,9385.T
9386,Nippon Concept Corporation,-,-,-,9386.T
9388,PAPANETS CO LTD,-,-,-,9388.T
9399,Beat Holdings Ltd.,-,-,-,9399.T
9401,TBS Holdings Inc.,メディア,テレビ/放送/出版,-,9401.T
9404,Nippon Television Holdings Inc.,メディア,テレビ/放送/出版,-,9404.T
9405,Asahi Broadcasting Group Holdings Corporation,メディア,テレビ/放送/出版,-,9405.T
9407,RKB MAINICHI HOLDINGS CORP,-,-,-,9407.T
9408,Bsn Media Holdings Inc.,ゲーム/エンタメ,コンテンツ/メディア,-|エンタメ|ゲーム,9408.T
9409,TV Asahi Holdings Corporation,メディア,テレビ/放送/出版,-,9409.T
9412,Sky Perfect JSAT Holdings Inc.,-,-,-,9412.T
9413,TV Tokyo Holdings Corporation,メディア,テレビ/放送/出版,-,9413.T
9414,Nippon BS Broadcasting Corporation,メディア,テレビ/放送/出版,-,9414.T
9416,Vision Inc.,-,-,-,9416.T
9417,"Smartvalue Co., Ltd.",メディア,テレビ/放送/出版,-,9417.T
9418,"U-Next Holdings Co., Ltd.",-,-,-,9418.T
9419,WirelessGate Inc.,-,-,-,9419.T
9421,NJ Holdings Inc.,-,-,-,9421.T
9423,Forval Realstraight Inc.,-,-,-,9423.T
9424,Japan Communications Inc.,通信,通信サービス,-|通信,9424.T
9425,Reyuu Japan Inc.,-,-,-,9425.T
9428,Crops Corporation,-,-,-,9428.T
9432,Nippon Telegraph and Telephone Corporation,通信,キャリア,-|通信,9432.T
9433,KDDI Corporation,通信,キャリア/通信,-|通信,9433.T
9434,SoftBank Corp.,通信,キャリア/通信,-|通信,9434.T
9435,Hikari Tsushin Inc.,-,-,-,9435.T
9436,Okinawa Cellular Telephone Company,-,-,-,9436.T
9438,MTI Ltd.,-,-,-,9438.T
9439,M H Group Ltd.,-,-,-,9439.T
9441,"Bell-Park Co., Ltd.",-,-,-,9441.T
9444,"Toshin Holdings Co., Ltd.",-,-,-,9444.T
9445,Forval Telecom Inc.,通信,通信サービス,-|通信,9445.T
9446,"Sakai Holdings Co., Ltd.",-,-,-,9446.T
9449,"GMO Internet Group, Inc.",ネットサービス,プラットフォーム/広告,it,9449.T
9450,Fibergate Inc.,-,-,-,9450.T
9466,Aidma Marketing Communication Inc.,通信,通信サービス,-|通信,9466.T
9467,"Alphapolis Co., Ltd.",-,-,-,9467.T
9468,Kadokawa Corporation,メディア,テレビ/放送/出版,-,9468.T
9470,"Gakken Holdings Co., Ltd.",-,-,-,9470.T
9474,"Zenrin Co., Ltd.",-,-,-,9474.T
9475,Shobunsha Holdings Inc.,-,-,-,9475.T
9476,Chuokeizai-sha Holdings Inc.,-,-,-,9476.T
9478,"Se Holdings and Incubations Co., Ltd.",-,-,-,9478.T
9501,"Tokyo Electric Power Company Holdings, Inc.",電機,エレクトロニクス,電機,9501.T
9502,"Chubu Electric Power Company, Inc.",電機,エレクトロニクス,電機,9502.T
9503,"Kansai Electric Power Co., Inc.",電機,エレクトロニクス,電機,9503.T
9504,"Chugoku Electric Power Company, Incorporated",電機,エレクトロニクス,電機,9504.T
9505,Hokuriku Electric Power Company,電機,エレクトロニクス,電機,9505.T
9506,"Tohoku Electric Power Co., Inc.",電機,エレクトロニクス,電機,9506.T
9507,"Shikoku Electric Power Co., Inc.",電機,エレクトロニクス,電機,9507.T
9508,"Kyushu Electric Power Co., Inc.",電機,エレクトロニクス,電機,9508.T
9509,"Hokkaido Electric Power Co., Inc.",電機,エレクトロニクス,電機,9509.T
9511,"Okinawa Electric Power Co., Inc.",電機,エレクトロニクス,電機,9511.T
9513,"Electric Power Development Co., Ltd.",電機,エレクトロニクス,電機,9513.T
9514,Ef-On Inc.,-,-,-,9514.T
9517,"Erex Co., Ltd.",-,-,-,9517.T
