ticker,open,close,vwap,volume,dollar_volume,pct_change,date
PEP,141.46,141.76,141.5702,12365531.0,1750590696.7762,0.002120740845468563,2025-09-19
HCA,401.48,402.3,402.149,4308470.0,1732646902.03,0.0020424429610441195,2025-09-19
MKTX,180.3,178.32,178.3698,9702909.0,1730705937.7482,-0.010981697171381132,2025-09-19
MCD,301.7,302.38,302.5066,5696853.0,1723335631.7298,0.002253894597282091,2025-09-19
BLK,1138.77,1142.85,1141.1367,1505458.0,1717933374.1086001,0.0035828130351167726,2025-09-19
PM,162.42,162.95,162.862,10489017.0,1708262286.654,0.0032631449328900455,2025-09-19
CMCSA,31.64,31.59,31.5978,53789574.0,1699632201.3372,-0.0015802781289507178,2025-09-19
KLAC,1051.9,1044.81,1044.9049,1586978.0,1658241088.3922,-0.006740184428177721,2025-09-19
ISRG,439.46,438.72,438.2527,3780685.0,1656895409.0995,-0.0016838847676693039,2025-09-19
BSX,98.9,97.83,97.7739,16834176.0,1645943040.8064,-0.010819009100101187,2025-09-19
SNAP,8.47,8.16,8.2151,194706918.0,1599536802.0618,-0.0365997638724912,2025-09-19
HL,10.84,10.96,10.9547,145814144.0,1597350203.2768002,0.011070110701107102,2025-09-19
ENPH,38.42,38.42,38.4294,41411881.0,1591433739.7014,0.0,2025-09-19
SQQQ,15.73,15.55,15.6795,100438692.0,1574828471.214,-0.011443102352193243,2025-09-19
ABT,134.7,136.04,135.7989,11547416.0,1568126390.6424,0.009948032665181912,2025-09-19
TEM,88.43,88.24,88.5534,17676495.0,1565313732.333,-0.0021485921067512376,2025-09-19
XLV,137.82,137.29,137.4677,11281215.0,1550802679.2555,-0.003845595704542165,2025-09-19
SOXX,267.295,265.86,265.491,5839134.0,1550237524.794,-0.0053686002356946524,2025-09-19
UPS,85.11,84.06,84.42,18120211.0,1529708212.6200001,-0.012336975678533629,2025-09-19
XLY,241.74,241.39,241.4867,6288096.0,1518491552.3232,-0.0014478365185737682,2025-09-19
CZR,26.5,25.56,25.5961,58448126.0,1496044077.9086,-0.03547169811320759,2025-09-19
MDT,95.91,95.08,95.1717,15677037.0,1492010262.2529001,-0.0086539464080909,2025-09-19
SOUN,15.66,16.25,16.1142,91711901.0,1477863915.0942001,0.03767560664112387,2025-09-19
MO,64.05,64.89,64.7494,22705131.0,1470143609.1713998,0.01311475409836071,2025-09-19
AEM,155.5,161.19,160.7467,9138217.0,1468938226.6339,0.03659163987138262,2025-09-19
EA,172.85,173.09,173.1083,8449842.0,1462737783.8886,0.0013884871275673075,2025-09-19
DXCM,75.0,67.45,68.9814,20848663.0,1438169961.8681998,-0.10066666666666663,2025-09-19
GILD,114.31,114.09,114.0799,12580503.0,1435182524.1897,-0.0019245910244073035,2025-09-19
CMG,40.03,39.32,39.3049,36441942.0,1432346886.1158001,-0.01773669747689235,2025-09-19
SCHW,93.36,94.33,94.0402,15163090.0,1425940016.218,0.0103898886032562,2025-09-19
SLV,38.26,39.04,38.7634,36776297.0,1425574311.1297998,0.020386826973340336,2025-09-19
SPLG,78.15,78.3,78.2249,18159613.0,1420533910.9637,0.0019193857965449964,2025-09-19
IREN,36.71,38.64,38.4651,36698947.0,1411628666.2497,0.05257423045491691,2025-09-19
COP,93.79,91.92,92.0748,15284109.0,1407281279.3532,-0.019938159718520147,2025-09-19
DDOG,136.32,138.82,138.2855,10124436.0,1400062694.4780002,0.018339201877934273,2025-09-19
FI,133.37,131.8,131.9159,10594018.0,1397519419.0862,-0.011771762765239507,2025-09-19
BE,84.0,84.93,84.1202,16593580.0,1395855268.316,0.011071428571428652,2025-09-19
FXI,41.18,40.93,41.0639,33890154.0,1391661894.8405998,-0.006070908207867897,2025-09-19
BX,188.87,187.62,187.8427,7404021.0,1390791295.4967,-0.0066183088897125006,2025-09-19
DHI,167.0,168.3,168.3516,8261126.0,1390773779.9016,0.007784431137724619,2025-09-19
WDAY,236.13,233.62,233.6887,5925958.0,1384829421.2746,-0.010629737856265578,2025-09-19
SHOP,151.96,153.3,153.4955,8812925.0,1352744329.3374999,0.00881811002895501,2025-09-19
PYPL,68.76,68.22,68.3136,19774202.0,1350846925.7471998,-0.007853403141361346,2025-09-19
AXON,771.77,774.53,773.6518,1740459.0,1346509238.1762,0.0035761949803697875,2025-09-19
LMT,474.23,472.94,473.4292,2839217.0,1344168232.9364,-0.0027201990595281202,2025-09-19
XLI,153.25,153.12,152.8033,8778274.0,1341349235.5042,-0.0008482871125611448,2025-09-19
LULU,169.7,169.62,169.3209,7885914.0,1335250055.8026,-0.000471420153211456,2025-09-19
XLE,89.63,88.52,88.6394,14989567.0,1328666225.1397998,-0.012384246346089473,2025-09-19
VLO,163.43,162.62,162.6311,8119517.0,1320485981.1787,-0.004956250382426741,2025-09-19
SMCI,46.0,45.81,45.9075,28688363.0,1317011024.4225,-0.004130434782608646,2025-09-19
AON,354.185,351.32,351.3548,3728789.0,1310127913.3372,-0.008088993040360289,2025-09-19
KKR,150.82,148.92,148.9338,8793943.0,1309715347.9733999,-0.012597798700437646,2025-09-19
EQT,49.3,49.19,49.119,26614745.0,1307289659.655,-0.0022312373225152017,2025-09-19
VRTX,388.6,383.12,384.6842,3394221.0,1305703190.0082,-0.014101904271744771,2025-09-19
ETN,373.6,374.5,373.9739,3483273.0,1302653188.5747,0.0024089935760170694,2025-09-19
DE,476.0,469.63,471.0096,2754928.0,1297597535.3088,-0.01338235294117648,2025-09-19
SBUX,84.13,84.56,84.4763,15315904.0,1293830901.0751998,0.00511113752525861,2025-09-19
REGN,602.54,591.99,593.8044,2178008.0,1293310733.6352,-0.01750921100673807,2025-09-19
RKLB,47.68,47.79,48.0021,26870013.0,1289817051.0273,0.00230704697986576,2025-09-19
SPG,180.36,180.72,180.7949,7083297.0,1280623972.7853,0.001996007984031854,2025-09-19
BMY,45.68,45.02,45.1302,28356209.0,1279721383.4118001,-0.014448336252189067,2025-09-19
ADI,249.95,245.33,245.8235,5182620.0,1274009787.57,-0.018483696739347775,2025-09-19
VZ,43.785,43.48,43.5519,29164228.0,1270157541.4332001,-0.00696585588671919,2025-09-19
ARM,145.805,142.91,143.5455,8770184.0,1258920447.372,-0.019855286169884506,2025-09-19
HUM,263.69,252.66,253.6611,4957837.0,1257610387.0407,-0.04182942091091813,2025-09-19
KRE,66.05,65.34,65.4482,19019166.0,1244770180.2012,-0.01074943224829665,2025-09-19
NDAQ,89.22,89.57,89.5284,13438557.0,1203132506.5188,0.003922887245012266,2025-09-19
PSX,131.72,129.72,129.695,9244775.0,1199001093.625,-0.015183723048891588,2025-09-19
DELL,132.945,131.94,132.4438,9051982.0,1198878893.6116002,-0.007559517093534886,2025-09-19
CL,81.73,81.17,81.2642,14727803.0,1196843128.5526001,-0.006851829193686557,2025-09-19
ETHA,34.26,33.57,33.892,35176084.0,1192187838.9280002,-0.02014010507880904,2025-09-19
UAL,105.72,106.31,105.9851,11193219.0,1186314435.0369,0.005580779417328825,2025-09-19
RCL,327.82,328.6,326.3426,3628427.0,1184110301.0902,0.00237935452382414,2025-09-19
VTI,328.31,328.44,327.8513,3610364.0,1183662530.8732,0.00039596722609727225,2025-09-19
ADP,293.51,292.0,292.0779,4039577.0,1179871167.0483,-0.0051446288031071884,2025-09-19
TGT,89.55,88.13,88.3213,13319502.0,1176395731.9926,-0.015857063093244018,2025-09-19
WDC,105.88,106.63,106.4905,11030712.0,1174666036.236,0.007083490744238761,2025-09-19
EXE,98.82,98.5,98.4548,11903393.0,1171946177.1364,-0.0032382108884840438,2025-09-19
MARA,18.5,18.29,18.4537,62943838.0,1161546703.3006,-0.011351351351351397,2025-09-19
ABNB,126.33,127.04,126.8913,9144270.0,1160328307.851,0.005620201060714066,2025-09-19
PGR,241.29,242.34,242.2946,4783431.0,1158999500.7726,0.00435161009573547,2025-09-19
MPC,185.3,185.46,185.2218,6246901.0,1157062247.6418,0.0008634646519157937,2025-09-19
DHR,196.17,193.29,193.7604,5934160.0,1149805215.264,-0.014681143905795972,2025-09-19
TER,119.5,119.85,119.6426,9576511.0,1145758674.9686,0.0029288702928869817,2025-09-19
SLB,34.39,34.43,34.3845,33104822.0,1138292752.059,0.0011631288165164044,2025-09-19
SPOT,730.92,734.92,734.3055,1546037.0,1135263472.3035002,0.005472555135992995,2025-09-19
MPWR,923.37,916.36,914.3794,1232124.0,1126628803.8456001,-0.007591756284046472,2025-09-19
SGOV,100.61,100.62,100.6149,11174043.0,1124275219.0407,9.939369843956979e-05,2025-09-19
CEG,325.71,330.9,328.2901,3416445.0,1121585070.6945,0.015934420189739333,2025-09-19
RTX,158.7,158.24,158.067,7083681.0,1119696204.627,-0.0028985507246375524,2025-09-19
IR,81.77,81.61,81.5277,13597970.0,1108611218.769,-0.0019567078390607387,2025-09-19
COF,229.97,228.32,228.3242,4825503.0,1101779112.0726,-0.007174848893333938,2025-09-19
IT,253.87,256.39,255.7394,4285645.0,1096008280.9129999,0.009926340252885264,2025-09-19
MDLZ,63.6,63.71,63.6482,17133906.0,1090542275.8692,0.001729559748427664,2025-09-19
ADSK,325.03,322.67,322.7922,3364367.0,1085991425.5374,-0.007260868227548094,2025-09-19
LOW,267.53,265.2,265.79,4079150.0,1084197278.5,-0.008709303629499437,2025-09-19
KR,65.76,65.58,65.4586,16411010.0,1074241739.186,-0.002737226277372366,2025-09-19
STX,218.43,221.23,220.1586,4834914.0,1064447897.3604001,0.012818752002929921,2025-09-19
QRVO,90.03,91.81,91.5317,11604213.0,1062153343.0521001,0.019771187381983794,2025-09-19
XLP,79.73,79.38,79.4766,13349336.0,1060959837.5376,-0.004389815627743742,2025-09-19
NEE,70.98,71.08,70.9967,14819314.0,1052122390.2638,0.0014088475626936364,2025-09-19
TJX,140.185,139.78,139.7967,7503971.0,1049030382.6956999,-0.0028890394835396163,2025-09-19
BBAI,6.31,6.85,6.6775,156953034.0,1048053884.5350001,0.0855784469096672,2025-09-19
ORLY,104.06,103.93,103.9268,10047748.0,1044230296.8464,-0.0012492792619642078,2025-09-19
BIDU,136.77,135.35,136.0318,7664873.0,1042666470.9614,-0.010382393799810015,2025-09-19
AIG,77.91,76.98,77.0342,13509150.0,1040666562.93,-0.011936850211782733,2025-09-19
USB,50.44,50.41,50.3807,20595316.0,1037606436.8011999,-0.0005947660586836071,2025-09-19
QTWO,84.43,78.18,78.5817,13172996.0,1035156419.7731999,-0.07402582020608788,2025-09-19
AMT,193.55,193.31,193.4129,5329760.0,1030844337.904,-0.001239989666752824,2025-09-19
JD,35.73,35.1,35.5754,28939064.0,1029518777.4256,-0.01763224181360189,2025-09-19
MELI,2493.06,2452.34,2463.2156,416953.0,1027045134.0668,-0.016333341355603076,2025-09-19
CCL,31.61,30.52,30.6116,33360022.0,1021203649.4552,-0.034482758620689655,2025-09-19
MMM,155.91,156.6,156.4462,6507181.0,1018023740.1622,0.004425630171252631,2025-09-19
PAYX,131.77,130.0,130.3462,7782937.0,1014476262.7894001,-0.013432496015785157,2025-09-19
CVS,74.69,74.92,75.1435,13445816.0,1010365674.5960001,0.0030793948319722047,2025-09-19
MCK,690.67,698.31,696.7315,1445594.0,1007190876.0109999,0.011061722675083596,2025-09-19
LSCC,72.27,72.14,72.0027,13955780.0,1004853840.6060001,-0.0017988100179880374,2025-09-19
EBAY,90.75,91.11,90.9601,11041031.0,1004293283.8630999,0.003966942148760325,2025-09-19
AAL,12.65,12.45,12.453,80623165.0,1004000273.745,-0.01581027667984198,2025-09-19
CB,274.465,273.89,274.0659,3627690.0,994226124.771,-0.0020949847885886677,2025-09-19
JOBY,14.7,16.58,15.9436,62295164.0,993209176.7504,0.12789115646258498,2025-09-19
HLT,267.81,268.61,268.1944,3686524.0,988705092.2655998,0.0029871924125313147,2025-09-19
LEU,260.0,294.49,290.9033,3395635.0,987801427.0955,0.13265384615384618,2025-09-19
PLD,115.18,113.51,113.8607,8647820.0,984646838.6739999,-0.01449904497308562,2025-09-19
RMBS,107.45,102.35,102.804,9564912.0,983311213.248,-0.047463936714751125,2025-09-19
CTSH,70.58,66.94,67.4192,14574973.0,982633019.6816001,-0.05157268347973931,2025-09-19
RIVN,14.72,14.38,14.3087,68671940.0,982606187.878,-0.02309782608695651,2025-09-19
ELV,316.82,313.71,314.5176,3117579.0,980533464.8904,-0.009816299476043223,2025-09-19
MDB,320.15,323.43,322.273,3034291.0,977870063.4430001,0.010245197563642136,2025-09-19
KWEB,42.135,41.72,41.8805,23281650.0,975047142.8249999,-0.009849293936157568,2025-09-19
URI,947.19,941.52,941.3924,1035015.0,974355254.8859999,-0.00598612738732469,2025-09-19
MCO,484.98,480.74,482.4814,2013108.0,971287166.1912,-0.008742628562002575,2025-09-19
LPLA,330.0,335.75,329.4159,2933188.0,966238764.8892001,0.017424242424242425,2025-09-19
EQIX,791.835,791.25,790.6641,1214695.0,960415728.9495,-0.0007387902782777174,2025-09-19
QS,12.18,13.42,12.9052,74324763.0,959175931.4676001,0.10180623973727423,2025-09-19
BK,108.8,108.71,108.7383,8770772.0,953718836.9676,-0.0008272058823529725,2025-09-19
VRT,142.63,143.6,142.6874,6682817.0,953553782.4058,0.006800813293136079,2025-09-19
FCX,45.245,44.94,45.0776,21120230.0,952049279.8479999,-0.006741076362028948,2025-09-19
TT,404.24,406.58,406.2206,2322906.0,943612269.0636,0.00578864041163659,2025-09-19
CLS,252.16,252.93,250.8779,3756412.0,942400754.0948,0.0030536167512690763,2025-09-19
WPM,105.39,107.65,107.4736,8717736.0,936926471.7696,0.021444159787456164,2025-09-19
INFY,17.55,16.97,17.0161,54720207.0,931124514.3327001,-0.033048433048433155,2025-09-19
ASTS,41.98,45.1,44.6775,20744963.0,926833084.4325,0.0743211052882326,2025-09-19
ON,51.61,51.07,51.0255,18145178.0,925866780.039,-0.01046308854873085,2025-09-19
CPRT,45.42,45.85,45.8219,20164417.0,923971899.3323,0.009467195068251865,2025-09-19
VEA,59.75,59.65,59.6856,15449268.0,922098830.1408,-0.0016736401673640405,2025-09-19
ES,64.405,67.0,66.8708,13698208.0,916010127.5264001,0.04029190280257742,2025-09-19
DAL,59.8,59.76,59.6016,15278869.0,910645038.5904,-0.0006688963210702199,2025-09-19
KVUE,18.21,18.34,18.3588,49475616.0,908312939.0207999,0.007138934651290445,2025-09-19
TTWO,251.96,250.85,250.7361,3620235.0,907723604.9835,-0.0044054611843150245,2025-09-19
